Date,Price,Open,High,Low,Vol.,Change %,Ticker,Unnamed: 7,Unnamed: 8
2024-07-17,1.1,1.09,1.1,1.08,9.11M,0.92%,AIICO,,
2024-07-16,1.09,1.15,1.15,1.08,15.88M,0.93%,AIICO,,
2024-07-15,1.08,1.08,1.12,1.08,18.91M,0.00%,AIICO,,
2024-07-12,1.08,1.12,1.1,1.07,14.61M,-3.57%,AIICO,,
2024-07-11,1.12,1.1,1.12,1.09,15.63M,1.82%,AIICO,,
2024-07-10,1.1,1.1,1.14,1.08,10.91M,0.00%,AIICO,,
2024-07-09,1.1,1.16,1.17,1.1,25.80M,-5.17%,AIICO,,
2024-07-08,1.16,1.15,1.17,1.1,28.83M,5.45%,AIICO,,
2024-07-05,1.1,1.08,1.18,1.06,30.84M,1.85%,AIICO,,
2024-07-04,1.08,1.05,1.08,1.05,8.39M,2.86%,AIICO,,
2024-07-03,1.05,1.01,1.05,1.03,14.92M,3.96%,AIICO,,
2024-07-02,1.01,1.0,1.04,1.01,31.72M,1.00%,AIICO,,
2024-07-01,1.0,0.97,1.03,0.97,14.21M,3.09%,AIICO,,
2024-06-28,0.97,0.95,0.99,0.95,27.01M,2.11%,AIICO,,
2024-06-27,0.95,0.95,0.98,0.95,26.18M,0.00%,AIICO,,
2024-06-26,0.95,0.97,0.96,0.95,23.96M,-2.06%,AIICO,,
2024-06-25,0.97,0.96,0.97,0.95,12.78M,1.04%,AIICO,,
2024-06-24,0.96,0.96,0.97,0.95,24.30M,0.00%,AIICO,,
2024-06-21,0.96,0.96,0.97,0.94,46.83M,0.00%,AIICO,,
2024-06-20,0.96,0.97,0.98,0.96,22.64M,-1.03%,AIICO,,
2024-06-19,0.97,0.98,0.98,0.96,60.67M,-1.02%,AIICO,,
2024-06-14,0.98,0.98,0.98,0.97,18.59M,0.00%,AIICO,,
2024-06-13,0.98,0.98,0.98,0.97,67.30M,0.00%,AIICO,,
2024-06-11,0.98,0.98,0.98,0.97,39.69M,0.00%,AIICO,,
2024-06-10,0.98,0.98,0.99,0.97,7.84M,0.00%,AIICO,,
2024-06-07,0.98,0.98,1.0,0.98,3.10M,0.00%,AIICO,,
2024-06-06,0.98,0.99,1.0,0.98,5.96M,-1.01%,AIICO,,
2024-06-05,0.99,0.99,1.02,0.99,9.84M,0.00%,AIICO,,
2024-06-04,0.99,1.01,1.0,0.99,17.19M,-1.98%,AIICO,,
2024-06-03,1.01,1.01,1.04,0.99,30.71M,0.00%,AIICO,,
2024-05-31,1.01,1.02,1.05,0.99,59.11M,-0.98%,AIICO,,
2024-05-30,1.02,1.02,1.03,1.0,5.22M,0.00%,AIICO,,
2024-05-29,1.02,0.99,1.02,0.99,9.52M,3.03%,AIICO,,
2024-05-28,0.99,1.0,1.0,0.99,5.09M,-1.00%,AIICO,,
2024-05-27,1.0,0.98,1.04,0.99,3.26M,2.04%,AIICO,,
2024-05-24,0.98,0.98,0.98,0.97,3.08M,0.00%,AIICO,,
2024-05-23,0.98,0.98,1.04,0.98,3.39M,0.00%,AIICO,,
2024-05-22,0.98,0.99,1.0,0.98,5.94M,-1.01%,AIICO,,
2024-05-21,0.99,1.0,1.03,0.99,4.38M,-1.00%,AIICO,,
2024-05-20,1.0,0.99,1.02,0.98,7.12M,1.01%,AIICO,,
2024-05-17,0.99,1.0,1.04,0.98,3.68M,-1.00%,AIICO,,
2024-05-16,1.0,1.0,1.01,1.0,6.02M,0.00%,AIICO,,
2024-05-15,1.0,1.02,1.03,1.0,12.65M,-1.96%,AIICO,,
2024-05-14,1.02,1.02,1.04,1.0,10.64M,0.00%,AIICO,,
2024-05-13,1.02,1.03,1.03,1.0,1.50M,-0.97%,AIICO,,
2024-05-10,1.03,1.01,1.05,0.98,11.09M,1.98%,AIICO,,
2024-05-09,1.01,1.0,1.03,1.0,6.19M,1.00%,AIICO,,
2024-05-08,1.0,1.0,1.0,0.97,8.04M,0.00%,AIICO,,
2024-05-07,1.0,1.0,1.05,1.0,22.65M,0.00%,AIICO,,
2024-05-06,1.0,1.0,1.04,1.0,20.73M,2.04%,AIICO,,
2024-05-03,0.98,1.0,1.0,0.98,10.10M,-2.00%,AIICO,,
2024-05-02,1.0,1.0,1.02,1.0,11.71M,0.00%,AIICO,,
2024-04-30,1.0,1.01,1.01,1.0,1.14M,-0.99%,AIICO,,
2024-04-29,1.01,1.0,1.07,1.0,3.44M,1.00%,AIICO,,
2024-04-26,1.0,1.0,1.02,1.0,1.53M,0.00%,AIICO,,
2024-04-25,1.0,1.0,1.02,1.0,1.64M,0.00%,AIICO,,
2024-04-24,1.0,1.02,1.07,1.0,4.13M,-1.96%,AIICO,,
2024-04-23,1.02,1.04,1.09,1.02,5.66M,-1.92%,AIICO,,
2024-04-22,1.04,1.0,1.04,1.0,3.94M,4.00%,AIICO,,
2024-04-19,1.0,0.99,1.07,0.99,5.52M,1.01%,AIICO,,
2024-04-18,0.99,0.99,1.05,0.99,6.90M,0.00%,AIICO,,
2024-04-17,0.99,1.0,1.05,0.99,6.47M,-1.00%,AIICO,,
2024-04-16,1.0,1.05,1.06,1.0,6.92M,-4.76%,AIICO,,
2024-04-15,1.05,1.12,1.08,1.04,9.80M,-6.25%,AIICO,,
2024-04-12,1.12,1.17,1.17,1.1,4.09M,-4.27%,AIICO,,
2024-04-08,1.17,1.13,1.18,1.13,9.84M,3.54%,AIICO,,
2024-04-05,1.13,1.14,1.14,1.1,8.67M,-0.88%,AIICO,,
2024-04-04,1.14,1.15,1.2,1.14,5.92M,-0.87%,AIICO,,
2024-04-03,1.15,1.2,1.24,1.15,12.66M,-8.00%,AIICO,,
2024-04-02,1.25,1.14,1.25,1.2,15.80M,9.65%,AIICO,,
2024-03-28,1.14,1.05,1.14,1.05,31.09M,8.57%,AIICO,,
2024-03-27,1.05,1.01,1.05,1.0,5.40M,3.96%,AIICO,,
2024-03-26,1.01,1.05,1.04,1.0,10.50M,-3.81%,AIICO,,
2024-03-25,1.05,1.06,1.05,1.01,4.44M,-0.94%,AIICO,,
2024-03-22,1.06,1.0,1.08,1.0,4.27M,6.00%,AIICO,,
2024-03-21,1.0,1.0,1.01,1.0,5.64M,0.00%,AIICO,,
2024-03-20,1.0,1.03,1.03,1.0,14.54M,-2.91%,AIICO,,
2024-03-19,1.03,0.99,1.03,0.99,11.77M,4.04%,AIICO,,
2024-03-18,0.99,0.99,1.02,0.98,10.29M,0.00%,AIICO,,
2024-03-15,0.99,1.0,1.0,0.95,7.81M,-1.00%,AIICO,,
2024-03-14,1.0,1.01,1.02,0.98,11.00M,-0.99%,AIICO,,
2024-03-13,1.01,1.04,1.07,1.0,7.23M,-2.88%,AIICO,,
2024-03-12,1.04,1.02,1.06,1.03,5.84M,1.96%,AIICO,,
2024-03-11,1.02,0.98,1.06,0.98,15.22M,4.08%,AIICO,,
2024-03-08,0.98,1.04,1.04,0.98,4.80M,-5.77%,AIICO,,
2024-03-07,1.04,1.0,1.04,0.98,2.17M,4.00%,AIICO,,
2024-03-06,1.0,0.99,1.05,0.98,3.59M,1.01%,AIICO,,
2024-03-05,0.99,1.08,1.08,0.99,7.67M,-8.33%,AIICO,,
2024-03-04,1.08,1.08,1.08,0.99,12.67M,0.00%,AIICO,,
2024-03-01,1.08,1.05,1.08,1.05,4.96M,2.86%,AIICO,,
2024-02-29,1.05,0.98,1.05,0.96,27.05M,9.37%,AIICO,,
2024-02-28,0.96,1.02,1.02,0.95,6.69M,-8.57%,AIICO,,
2024-02-27,1.05,1.08,1.08,1.05,9.43M,-2.78%,AIICO,,
2024-02-26,1.08,1.08,1.08,1.08,3.52M,0.00%,AIICO,,
2024-02-23,1.08,1.08,1.12,1.08,4.42M,0.00%,AIICO,,
2024-02-22,1.08,1.08,1.11,1.08,3.08M,0.00%,AIICO,,
2024-02-21,1.08,1.09,1.09,1.01,4.41M,-0.92%,AIICO,,
2024-02-20,1.09,1.15,1.12,1.08,11.28M,-5.22%,AIICO,,
2024-02-19,1.15,1.18,1.18,1.1,5.74M,-2.54%,AIICO,,
2024-02-16,1.18,1.19,1.19,1.18,1.55M,-0.84%,AIICO,,
2024-02-15,1.19,1.2,1.2,1.19,2.62M,-0.83%,AIICO,,
2024-02-14,1.2,1.2,1.29,1.19,6.34M,0.00%,AIICO,,
2024-02-13,1.2,1.19,1.3,1.2,9.05M,0.84%,AIICO,,
2024-02-12,1.19,1.18,1.23,1.18,7.00M,0.85%,AIICO,,
2024-02-09,1.18,1.12,1.18,1.09,13.91M,5.36%,AIICO,,
2024-02-08,1.12,1.18,1.27,1.07,27.06M,-5.08%,AIICO,,
2024-02-07,1.18,1.2,1.24,1.18,8.58M,-9.92%,AIICO,,
2024-02-06,1.31,1.32,1.34,1.22,7.92M,-0.76%,AIICO,,
2024-02-05,1.32,1.24,1.36,1.29,13.38M,6.45%,AIICO,,
2024-02-02,1.24,1.14,1.25,1.2,12.68M,8.77%,AIICO,,
2024-02-01,1.14,1.08,1.18,0.98,13.16M,5.56%,AIICO,,
2024-01-31,1.08,1.19,1.17,1.08,10.42M,-9.24%,AIICO,,
2024-01-30,1.19,1.3,1.3,1.17,19.10M,-8.46%,AIICO,,
2024-01-29,1.3,1.34,1.4,1.27,7.21M,-2.99%,AIICO,,
2024-01-26,1.34,1.34,1.44,1.3,10.59M,0.00%,AIICO,,
2024-01-25,1.34,1.22,1.34,1.26,10.23M,9.84%,AIICO,,
2024-01-24,1.22,1.28,1.3,1.2,12.03M,-4.69%,AIICO,,
2024-01-23,1.28,1.45,1.48,1.25,14.13M,-7.25%,AIICO,,
2024-01-22,1.38,1.51,1.56,1.38,17.42M,-8.61%,AIICO,,
2024-01-19,1.51,1.45,1.58,1.46,22.29M,4.14%,AIICO,,
2024-01-18,1.45,1.69,1.69,1.41,29.45M,-5.84%,AIICO,,
2024-01-17,1.54,1.42,1.54,1.4,61.11M,10.00%,AIICO,,
2024-01-16,1.4,1.3,1.4,1.25,99.06M,9.38%,AIICO,,
2024-01-15,1.28,1.25,1.3,1.22,62.29M,2.40%,AIICO,,
2024-01-12,1.25,1.3,1.3,1.2,25.36M,-3.85%,AIICO,,
2024-01-11,1.3,1.26,1.38,1.26,53.90M,3.17%,AIICO,,
2024-01-10,1.26,1.51,1.51,1.25,91.79M,-8.70%,AIICO,,
2024-01-09,1.38,1.38,1.38,1.38,30.29M,9.52%,AIICO,,
2024-01-08,1.26,1.26,1.26,1.26,13.67M,9.57%,AIICO,,
2024-01-05,1.15,1.15,1.15,1.1,18.02M,9.52%,AIICO,,
2024-01-04,1.05,1.05,1.05,1.05,25.52M,9.37%,AIICO,,
2024-01-03,0.96,0.88,0.96,0.96,7.30M,9.09%,AIICO,,
2024-01-02,0.88,0.8,0.88,0.88,8.03M,10.00%,AIICO,,
2023-12-29,0.8,0.76,0.82,0.77,6.90M,5.26%,AIICO,,
2023-12-28,0.76,0.77,0.8,0.76,4.01M,-1.30%,AIICO,,
2023-12-27,0.77,0.77,0.79,0.77,2.43M,0.00%,AIICO,,
2023-12-22,0.77,0.74,0.77,0.77,1.33M,4.05%,AIICO,,
2023-12-21,0.74,0.74,0.77,0.74,2.93M,0.00%,AIICO,,
2023-12-20,0.74,0.75,0.77,0.73,4.09M,-1.33%,AIICO,,
2023-12-19,0.75,0.72,0.75,0.73,1.88M,4.17%,AIICO,,
2023-12-18,0.72,0.76,0.74,0.71,6.66M,-5.26%,AIICO,,
2023-12-15,0.76,0.75,0.76,0.71,1.81M,1.33%,AIICO,,
